eventid,angle,carid,driverid,height,lat,lon,lurch,maxvectoracc,midvectoracc,origid,speed,tanage,xacc,yacc,zacc,eventdt,entrydt,iscan
10832250,271,10005,10005,3,5956.2632,3022.7849,39,0.569999992847443,0.0799999982118607,4689076,62.5115,0,-0.159999996423721,0.540000021457672,0.00999999977648258,2016-10-09 08:16:31+03,2016-10-24 14:57:39.867+03,True
10832251,271,10005,10005,4,5956.2634,3022.7666,26,0.479999989271164,0.109999999403954,4689077,62.715,0,-0.219999998807907,0.430000007152557,0,2016-10-09 08:16:32+03,2016-10-24 14:57:39.867+03,True
10832252,272,10005,10005,5,5956.264,3022.7135,44,0.349999994039536,0.159999996423721,4689078,62.16,0,-0.0599999986588955,0.330000013113022,0.100000001490116,2016-10-09 08:16:35+03,2016-10-24 14:57:39.867+03,True
10832253,270,10005,10005,6,5956.2652,3022.6765,47,0.200000002980232,0.0599999986588955,4689079,62.5115,0,0,-0.159999996423721,-0.119999997317791,2016-10-09 08:16:37+03,2016-10-24 14:57:39.867+03,True
10832254,271,10005,10005,7,5956.2657,3022.6579,55,0.519999980926514,0.230000004172325,4689080,61.79,0,-0.129999995231628,0.5,0,2016-10-09 08:16:38+03,2016-10-24 14:57:39.867+03,True
10832255,271,10005,10005,7,5956.266,3022.6397,31,0.409999996423721,0.0599999986588955,4689081,60.865,0,0.119999997317791,0.389999985694885,0.0599999986588955,2016-10-09 08:16:39+03,2016-10-24 14:57:39.867+03,True
10832256,273,10005,10005,7,5956.2665,3022.6215,54,0.189999997615814,0.0799999982118607,4689082,61.79,0,-0.0299999993294477,0.180000007152557,-0.0500000007450581,2016-10-09 08:16:40+03,2016-10-24 14:57:39.867+03,True
10832257,274,10005,10005,8,5956.2671,3022.6038,64,0.140000000596046,0.0500000007450581,4689083,59.94,0,0.0199999995529652,-0.0299999993294477,0.140000000596046,2016-10-09 08:16:41+03,2016-10-24 14:57:39.867+03,True
10832258,271,10005,10005,9,5956.2683,3022.5459,68,0.239999994635582,0.0700000002980232,4689084,39.775,0,-0.189999997615814,0.129999995231628,-0.0399999991059303,2016-10-09 08:16:44+03,2016-10-24 14:57:39.867+03,True
10832259,280,10005,10005,11,5956.2697,3022.517,82,0.0900000035762787,0.0299999993294477,4689085,4.07,0,-0.0599999986588955,0.0700000002980232,0,2016-10-09 08:16:49+03,2016-10-24 14:57:39.867+03,True
10832260,56,10005,10005,13,5956.2705,3022.5179,91,0.0799999982118607,0.0299999993294477,4689086,1.665,-1,-0.0500000007450581,0.0500000007450581,-0.0199999995529652,2016-10-09 08:16:52+03,2016-10-24 14:57:39.867+03,True
